Episode,RaceTime,Epsilon
0,5153.4828387207035,0.999
1,5202.780000216781,0.998001
2,5028.361063406852,0.997002999
3,5128.8163755541755,0.996005996001
4,5080.3362870938745,0.995009990004999
5,5078.616905590279,0.994014980014994
6,5005.170586438833,0.993020965034979
7,5227.696793714706,0.9920279440699441
8,5152.202488147957,0.9910359161258742
9,5128.161168835305,0.9900448802097482
10,5227.350094954931,0.9890548353295385
11,5127.718586430202,0.988065780494209
12,5004.050274577072,0.9870777147137147
13,5127.784414132174,0.986090636999001
14,5128.997941135165,0.9851045463620021
15,5102.719536620652,0.98411944181564
16,5227.07188500332,0.9831353223738244
17,5103.080953074338,0.9821521870514506
18,5079.365482419987,0.9811700348643991
19,5004.239448160351,0.9801888648295347
20,5129.490876428385,0.9792086759647052
21,5079.035174168965,0.9782294672887405
22,5103.119711351274,0.9772512378214517
23,5128.084189233222,0.9762739865836303
24,4954.776195897135,0.9752977125970467
25,5102.755819464001,0.9743224148844496
26,5178.881408035302,0.9733480924695651
27,5127.830860584281,0.9723747443770956
28,5177.7834639417215,0.9714023696327185
29,5029.619046211416,0.9704309672630859
30,5152.803318175416,0.9694605362958227
31,5103.507860018647,0.9684910757595269
32,5127.682303586856,0.9675225846837673
33,5004.007529691241,0.9665550620990835
34,5102.8457258498975,0.9655885070369844
35,5154.290221131548,0.9646229185299474
36,5227.235307266364,0.9636582956114175
37,5152.2397211817515,0.9626946373158061
38,5054.467747934913,0.9617319426784903
39,5102.811956541041,0.9607702107358118
40,5079.221119169795,0.959809440525076
41,5053.1017574984835,0.9588496310845509
42,5053.362774322593,0.9578907814534664
43,5153.4160151509495,0.9569328906720129
44,5152.591447010508,0.9559759577813409
45,5227.090789046561,0.9550199818235596
46,5053.304926329812,0.9540649618417361
47,5028.683683482703,0.9531108968798944
48,4982.977575709341,0.9521577859830145
49,5077.663399543613,0.9512056281970315
50,5104.042862344137,0.9502544225688344
51,4953.692321848326,0.9493041681462656
52,5078.50116771126,0.9483548639781193
53,5177.72732686468,0.9474065091141411
54,4978.623030421414,0.946459102605027
55,4978.386092281229,0.9455126435024219
56,5055.661420704211,0.9445671308589195
57,5052.998696762715,0.9436225637280606
58,4930.5050734627575,0.9426789411643326
59,4979.885994617624,0.9417362622231683
60,5054.128544279803,0.9407945259609451
61,5127.552650632673,0.9398537314349842
62,5028.691371657873,0.9389138777035492
63,5227.87242013717,0.9379749638258457
64,5152.728277055135,0.9370369888620198
65,5128.2632793806215,0.9360999518731578
66,5053.72419077628,0.9351638519212846
67,5102.9952330377755,0.9342286880693633
68,5127.499027090121,0.933294459381294
69,5202.161791389219,0.9323611649219127
70,5029.227089031322,0.9314288037569908
71,5079.987074799608,0.9304973749532338
72,5053.923054984491,0.9295668775782806
73,5129.105226321169,0.9286373107007023
74,5152.3693741359375,0.9277086733900016
75,5127.58893347602,0.9267809647166116
76,5152.515417598875,0.925854183751895
77,4978.4432176496175,0.9249283295681431
78,4882.11740492284,0.9240034012385749
79,4883.95358951946,0.9230793978373364
80,5029.369101114535,0.9221563184394991
81,5053.109445673656,0.9212341621210596
82,4980.649674400039,0.9203129279589385
83,5202.1056543121795,0.9193926150309796
84,5152.882008693243,0.9184732224159486
85,4818.593998003695,0.9175547491935327
86,4954.147108412848,0.9166371944443392
87,5078.706811976177,0.9157205572498949
88,5077.756769654452,0.914804836692645
89,5078.653903481587,0.9138900318559524
90,5029.932920820953,0.9129761418240965
91,5177.1289722708125,0.9120631656822724
92,5127.755819464,0.9111511025165902
93,4979.650767393185,0.9102399514140735
94,5079.746180599277,0.9093297114626595
95,4955.839420491407,0.9084203817511969
96,5008.573804183909,0.9075119613694457
97,5004.492856982173,0.9066044494080763
98,4904.4478337043465,0.9056978449586682
99,5252.2169782758065,0.9047921471137096
100,5178.21037088603,0.9038873549665959
101,5028.4914314089965,0.9029834676116293
102,5177.33214110214,0.9020804841440176
103,5103.194938144162,0.9011784036598737
104,5177.27254030016,0.9002772252562138
105,4930.245052506429,0.8993769480309576
106,4904.325868925335,0.8984775710829266
107,5277.412458931962,0.8975790935118436
108,5078.662879058556,0.8966815144183318
109,5153.336795257767,0.8957848329039134
110,4954.826548785253,0.8948890480710096
111,4978.8185110775685,0.8939941590229386
112,5054.951824864196,0.8931001648639156
113,5006.197178623184,0.8922070646990518
114,5127.570029432777,0.8913148576343527
115,5004.146873270359,0.8904235427767183
116,5153.09639339264,0.8895331192339416
117,5028.361063406851,0.8886435861147077
118,5004.170951954285,0.887754942528593
119,5152.202488147956,0.8868671875860644
120,4953.756147100537,0.8859803203984784
121,5102.811956541041,0.88509434007808
122,5053.434579283995,0.8842092457380019
123,5181.982997766173,0.8833250364922639
124,4953.277281852089,0.8824417114557717
